iter	RMSE
0	8701.834133
1	8639.974578
2	8581.38883
3	8516.381161
4	8454.981598
5	8397.858029
6	8338.32529
7	8287.595184
8	8230.550203
9	8180.813808
10	8136.724186
11	8086.788407
12	8037.63072
13	7994.220545
14	7950.646757
15	7891.288416
16	7846.593279
17	7793.890648
18	7735.375549
19	7679.947551
20	7639.264887
21	7598.996862
22	7553.824121
23	7514.313269
24	7464.25779
25	7413.542862
26	7362.631666
27	7317.439433
28	7279.454731
29	7234.946798
30	7181.725365
31	7144.36
32	7093.086117
33	7050.540577
34	7009.386779
35	6968.284946
36	6930.631966
37	6890.418761
38	6844.316437
39	6804.103505
40	6764.782041
41	6718.049377
42	6678.097818
43	6644.104876
44	6605.351106
45	6572.003765
46	6528.360118
47	6484.72831
48	6447.39428
49	6410.626485
50	6372.900772
51	6325.804828
52	6291.310032
53	6254.257939
54	6213.452007
55	6181.806194
56	6141.759503
57	6105.360608
58	6070.849488
59	6040.404499
60	6006.327688
61	5968.405479
62	5933.971579
63	5896.190654
64	5866.076577
65	5830.910949
66	5797.934567
67	5767.985697
68	5730.892589
69	5688.378405
70	5650.436096
71	5618.440646
72	5581.60832
73	5549.530327
74	5514.093429
75	5478.620153
76	5448.116278
77	5415.558321
78	5380.422134
79	5345.71851
80	5319.741673
81	5282.035584
82	5247.787062
83	5222.323784
84	5192.348707
85	5154.43828
86	5121.535868
87	5092.192476
88	5059.764144
89	5031.51993
90	4999.755262
91	4966.735575
92	4937.682188
93	4902.673316
94	4870.732802
95	4840.277984
96	4811.907598
97	4777.542122
98	4751.305146
99	4721.700334
100	4687.684403
101	4664.897737
102	4638.882589
103	4613.208788
104	4590.583189
105	4557.462913
106	4528.868886
107	4503.707878
108	4478.155516
109	4449.789069
110	4421.143936
111	4393.409915
112	4361.845827
113	4340.452955
114	4313.350466
115	4284.857568
116	4256.677477
117	4230.45724
118	4204.24582
119	4177.301184
120	4153.713939
121	4131.014968
122	4100.650255
123	4078.517199
124	4051.690874
125	4024.95298
126	4001.991723
127	3977.213472
128	3955.607505
129	3928.124373
130	3906.597981
131	3880.844126
132	3856.182677
133	3837.315482
134	3812.938952
135	3785.224625
136	3764.819443
137	3740.424551
138	3717.278263
139	3694.285468
140	3671.330967
141	3648.299499
142	3625.887528
143	3605.800805
144	3582.764737
145	3560.910609
146	3536.159213
147	3510.435893
148	3487.908455
149	3471.38236
150	3449.194115
151	3428.30517
152	3406.447868
153	3385.343155
154	3367.25757
155	3346.879603
156	3331.127187
157	3310.792157
158	3290.275459
159	3267.74922
160	3248.085889
161	3228.565779
162	3208.032646
163	3188.404487
164	3169.316673
165	3152.439949
166	3129.634929
167	3110.362229
168	3089.005625
169	3069.689503
170	3051.36815
171	3033.026487
172	3014.695628
173	2996.533525
174	2978.268363
175	2957.314968
176	2938.637251
177	2917.815771
178	2900.472351
179	2882.825218
180	2865.724247
181	2848.380462
182	2827.758113
183	2810.241732
184	2792.560226
185	2773.813346
186	2757.506623
187	2740.325886
188	2723.287158
189	2707.263142
190	2690.10097
191	2674.309532
192	2658.058703
193	2640.055366
194	2621.986006
195	2606.688906
196	2591.50712
197	2576.349093
198	2561.32478
199	2546.348236
200	2531.412064
201	2515.384963
202	2500.566886
203	2486.020699
204	2471.672987
205	2456.132524
206	2441.919778
207	2427.537193
208	2413.55154
209	2398.700618
210	2384.097085
211	2370.407112
212	2356.844204
213	2341.946424
214	2327.416016
215	2313.247258
216	2299.17923
217	2284.505802
218	2270.67909
219	2257.70817
220	2242.932769
221	2228.717959
222	2215.534963
223	2201.768706
224	2188.403814
225	2175.031917
226	2161.882202
227	2148.581589
228	2133.289722
229	2120.460276
230	2106.813065
231	2093.839421
232	2081.111587
233	2068.590831
234	2056.199664
235	2043.813421
236	2031.163324
237	2018.723524
238	2006.531472
239	1994.051296
240	1982.117004
241	1970.208685
242	1956.213035
243	1944.135811
244	1931.849697
245	1919.861772
246	1908.374173
247	1896.311276
248	1884.234993
249	1872.549322
250	1861.337476
251	1849.954493
252	1838.641229
